timestamp_us,timestamp_s,event,connection_handle,l2cap_cid,sequence,write_index,read_index,ring_fill,audio_busy,duration_us,result,detail0,detail1,details,anomaly,anomaly_reasons
41087023,41.087023,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,150,1687,1687,0,1,0,0,0,0,,False,
41087027,41.087027,AUDIO_CAN_SEND_NOW,0x0040,0x0041,150,1687,1687,0,1,6,0,0,0,,False,
41087305,41.087305,AUDIO_PACKET_SENT,0x0040,0x0041,150,1687,1687,0,1,276,0,22,0,,False,
41087308,41.087308,AUDIO_BUSY_CLEAR,0x0040,0x0041,150,1687,1687,0,0,285,3,0,0,busy_context=3,False,
41087311,41.087311,AUDIO_L2CAP_SEND,0x0040,0x0041,150,1687,1687,0,0,0,0,161,0,sdu_size=161,False,
41104915,41.104915,AUDIO_SDU_GENERATED,0xffff,0x0000,151,1688,1687,1,0,20001,0,0,0,,False,
41105801,41.105801,AUDIO_BUSY_SET,0x0040,0x0041,151,1688,1688,0,1,0,2,0,0,busy_context=2,False,
41105803,41.105803,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,151,1688,1688,0,1,0,0,0,0,,False,
41105806,41.105806,AUDIO_CAN_SEND_NOW,0x0040,0x0041,151,1688,1688,0,1,6,0,0,0,,False,
41106085,41.106085,AUDIO_PACKET_SENT,0x0040,0x0041,151,1688,1688,0,1,276,0,22,0,,False,
41106088,41.106088,AUDIO_BUSY_CLEAR,0x0040,0x0041,151,1688,1688,0,0,287,3,0,0,busy_context=3,False,
41106091,41.106091,AUDIO_L2CAP_SEND,0x0040,0x0041,151,1688,1688,0,0,0,0,161,0,sdu_size=161,False,
41124912,41.124912,AUDIO_SDU_GENERATED,0xffff,0x0000,152,1689,1688,1,0,19997,0,0,0,,False,
41127032,41.127032,AUDIO_BUSY_SET,0x0040,0x0041,152,1689,1689,0,1,0,2,0,0,busy_context=2,False,
41127034,41.127034,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,152,1689,1689,0,1,0,0,0,0,,False,
41127037,41.127037,AUDIO_CAN_SEND_NOW,0x0040,0x0041,152,1689,1689,0,1,5,0,0,0,,False,
41127315,41.127315,AUDIO_PACKET_SENT,0x0040,0x0041,152,1689,1689,0,1,276,0,22,0,,False,
41127318,41.127318,AUDIO_BUSY_CLEAR,0x0040,0x0041,152,1689,1689,0,0,285,3,0,0,busy_context=3,False,
41127321,41.127321,AUDIO_L2CAP_SEND,0x0040,0x0041,152,1689,1689,0,0,0,0,161,0,sdu_size=161,False,
41144913,41.144913,AUDIO_SDU_GENERATED,0xffff,0x0000,153,1690,1689,1,0,20001,0,0,0,,False,
41145811,41.145811,AUDIO_BUSY_SET,0x0040,0x0041,153,1690,1690,0,1,0,2,0,0,busy_context=2,False,
41145813,41.145813,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,153,1690,1690,0,1,0,0,0,0,,False,
41145816,41.145816,AUDIO_CAN_SEND_NOW,0x0040,0x0041,153,1690,1690,0,1,6,0,0,0,,False,
41146095,41.146095,AUDIO_PACKET_SENT,0x0040,0x0041,153,1690,1690,0,1,276,0,22,0,,False,
41146098,41.146098,AUDIO_BUSY_CLEAR,0x0040,0x0041,153,1690,1690,0,0,286,3,0,0,busy_context=3,False,
41146101,41.146101,AUDIO_L2CAP_SEND,0x0040,0x0041,153,1690,1690,0,0,0,0,161,0,sdu_size=161,False,
41164912,41.164912,AUDIO_SDU_GENERATED,0xffff,0x0000,154,1691,1690,1,0,19999,0,0,0,,False,
41167035,41.167035,AUDIO_BUSY_SET,0x0040,0x0041,154,1691,1691,0,1,0,2,0,0,busy_context=2,False,
41167036,41.167036,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,154,1691,1691,0,1,0,0,0,0,,False,
41167040,41.167040,AUDIO_CAN_SEND_NOW,0x0040,0x0041,154,1691,1691,0,1,6,0,0,0,,False,
41167318,41.167318,AUDIO_PACKET_SENT,0x0040,0x0041,154,1691,1691,0,1,276,0,22,0,,False,
41167320,41.167320,AUDIO_BUSY_CLEAR,0x0040,0x0041,154,1691,1691,0,0,285,3,0,0,busy_context=3,False,
41167324,41.167324,AUDIO_L2CAP_SEND,0x0040,0x0041,154,1691,1691,0,0,0,0,161,0,sdu_size=161,False,
41184918,41.184918,AUDIO_SDU_GENERATED,0xffff,0x0000,155,1692,1691,1,0,20006,0,0,0,,False,
41185814,41.185814,AUDIO_BUSY_SET,0x0040,0x0041,155,1692,1692,0,1,0,2,0,0,busy_context=2,False,
41185815,41.185815,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,155,1692,1692,0,1,0,0,0,0,,False,
41185819,41.185819,AUDIO_CAN_SEND_NOW,0x0040,0x0041,155,1692,1692,0,1,6,0,0,0,,False,
41186097,41.186097,AUDIO_PACKET_SENT,0x0040,0x0041,155,1692,1692,0,1,276,0,22,0,,False,
41186100,41.186100,AUDIO_BUSY_CLEAR,0x0040,0x0041,155,1692,1692,0,0,286,3,0,0,busy_context=3,False,
41186103,41.186103,AUDIO_L2CAP_SEND,0x0040,0x0041,155,1692,1692,0,0,0,0,161,0,sdu_size=161,False,
41204914,41.204914,AUDIO_SDU_GENERATED,0xffff,0x0000,156,1693,1692,1,0,19996,0,0,0,,False,
41207041,41.207041,AUDIO_BUSY_SET,0x0040,0x0041,156,1693,1693,0,1,0,2,0,0,busy_context=2,False,
